ID;Имя;Дней с последней покупки;Заказов;Выручка (₽);R;F;M;RFM-счет;Сегмент
1;Петров 1;-7.0;12;582795.0;5;5;5;15;VIP Клиенты
2;Сидоров 2;-4.0;12;596188.0;5;5;5;15;VIP Клиенты
3;Смирнов 3;-11.0;12;606773.0;5;5;5;15;VIP Клиенты
4;Кузнецов 4;-2.0;12;594757.0;5;5;5;15;VIP Клиенты
5;Попов 5;-10.0;12;609166.0;5;5;5;15;VIP Клиенты
6;Лебедев 6;-11.0;12;593619.0;5;5;5;15;VIP Клиенты
7;Козлов 7;-10.0;12;578683.0;5;5;5;15;VIP Клиенты
8;Новиков 8;-9.0;12;590010.0;5;5;5;15;VIP Клиенты
9;Морозов 9;-7.0;12;597337.0;5;5;5;15;VIP Клиенты
10;Иванов 10;-6.0;12;597089.0;5;5;5;15;VIP Клиенты
11;Петров 11;-9.0;12;588108.0;5;5;5;15;VIP Клиенты
12;Сидоров 12;-6.0;12;598617.0;5;5;5;15;VIP Клиенты
13;Смирнов 13;-5.0;12;594613.0;5;5;5;15;VIP Клиенты
14;Кузнецов 14;-9.0;12;608784.0;5;5;5;15;VIP Клиенты
15;Попов 15;-8.0;12;591231.0;5;5;5;15;VIP Клиенты
16;Лебедев 16;-6.0;12;598351.0;5;5;5;15;VIP Клиенты
17;Козлов 17;-2.0;12;588520.0;5;5;5;15;VIP Клиенты
18;Новиков 18;-4.0;12;594779.0;5;5;5;15;VIP Клиенты
19;Морозов 19;-11.0;12;592677.0;5;5;5;15;VIP Клиенты
20;Иванов 20;-10.0;12;603667.0;5;5;5;15;VIP Клиенты
21;Петров 21;-7.0;12;591139.0;5;5;5;15;VIP Клиенты
22;Сидоров 22;-7.0;12;581118.0;5;5;5;15;VIP Клиенты
23;Смирнов 23;-7.0;12;586382.0;5;5;5;15;VIP Клиенты
24;Кузнецов 24;-9.0;12;602665.0;5;5;5;15;VIP Клиенты
25;Попов 25;4.0;12;602897.0;5;5;5;15;VIP Клиенты
26;Лебедев 26;22.0;8;195456.0;5;4;5;14;VIP Клиенты
27;Козлов 27;20.0;8;200875.0;5;4;5;14;VIP Клиенты
28;Новиков 28;30.0;8;202459.0;5;4;5;14;VIP Клиенты
29;Морозов 29;22.0;8;190709.0;5;4;5;14;VIP Клиенты
30;Иванов 30;20.0;8;189927.0;5;4;5;14;VIP Клиенты
33;Смирнов 33;27.0;8;208348.0;5;4;5;14;VIP Клиенты
34;Кузнецов 34;26.0;8;187008.0;5;4;5;14;VIP Клиенты
35;Попов 35;19.0;8;200018.0;5;4;5;14;VIP Клиенты
36;Лебедев 36;21.0;8;209600.0;5;4;5;14;VIP Клиенты
37;Козлов 37;21.0;8;197685.0;5;4;5;14;VIP Клиенты
38;Новиков 38;20.0;8;202599.0;5;4;5;14;VIP Клиенты
39;Морозов 39;29.0;8;214422.0;5;4;5;14;VIP Клиенты
40;Иванов 40;28.0;8;196936.0;5;4;5;14;VIP Клиенты
41;Петров 41;19.0;8;211027.0;5;4;5;14;VIP Клиенты
42;Сидоров 42;23.0;8;197569.0;5;4;5;14;VIP Клиенты
43;Смирнов 43;27.0;8;204054.0;5;4;5;14;VIP Клиенты
44;Кузнецов 44;26.0;8;220689.0;5;4;5;14;VIP Клиенты
45;Попов 45;23.0;8;210241.0;5;4;5;14;VIP Клиенты
46;Лебедев 46;20.0;8;190716.0;5;4;5;14;VIP Клиенты
47;Козлов 47;21.0;8;192561.0;5;4;5;14;VIP Клиенты
49;Морозов 49;19.0;8;191983.0;5;4;5;14;VIP Клиенты
50;Иванов 50;20.0;8;202514.0;5;4;5;14;VIP Клиенты
31;Петров 31;36.0;8;203384.0;4;4;5;13;VIP Клиенты
32;Сидоров 32;32.0;8;201192.0;4;4;5;13;VIP Клиенты
48;Новиков 48;40.0;8;210363.0;4;4;5;13;VIP Клиенты
52;Сидоров 52;15.0;2;22583.0;5;2;3;10;Новые
53;Смирнов 53;-12.0;2;28771.0;5;2;3;10;Новые
55;Попов 55;18.0;2;21519.0;5;2;3;10;Новые
59;Морозов 59;1.0;2;22185.0;5;2;3;10;Новые
62;Сидоров 62;-5.0;2;21401.0;5;2;3;10;Новые
67;Козлов 67;13.0;2;21290.0;5;2;3;10;Новые
68;Новиков 68;-15.0;2;23591.0;5;2;3;10;Новые
71;Петров 71;-3.0;2;25763.0;5;2;3;10;Новые
72;Сидоров 72;-3.0;2;22891.0;5;2;3;10;Новые
73;Смирнов 73;-20.0;2;20473.0;5;2;3;10;Новые
75;Попов 75;-20.0;2;23850.0;5;2;3;10;Новые
126;Лебедев 126;92.0;4;60759.0;3;3;4;10;Обычные
127;Козлов 127;77.0;4;61094.0;3;3;4;10;Обычные
128;Новиков 128;75.0;4;51507.0;3;3;4;10;Обычные
129;Морозов 129;82.0;4;66184.0;3;3;4;10;Обычные
130;Иванов 130;66.0;4;58214.0;3;3;4;10;Обычные
131;Петров 131;73.0;4;66159.0;3;3;4;10;Обычные
132;Сидоров 132;88.0;4;62576.0;3;3;4;10;Обычные
133;Смирнов 133;77.0;4;57421.0;3;3;4;10;Обычные
134;Кузнецов 134;87.0;4;61560.0;3;3;4;10;Обычные
135;Попов 135;64.0;4;65903.0;3;3;4;10;Обычные
136;Лебедев 136;70.0;4;51242.0;3;3;4;10;Обычные
137;Козлов 137;76.0;4;62149.0;3;3;4;10;Обычные
138;Новиков 138;88.0;4;63544.0;3;3;4;10;Обычные
139;Морозов 139;75.0;4;64808.0;3;3;4;10;Обычные
140;Иванов 140;73.0;4;64360.0;3;3;4;10;Обычные
141;Петров 141;70.0;4;53450.0;3;3;4;10;Обычные
142;Сидоров 142;64.0;4;65856.0;3;3;4;10;Обычные
143;Смирнов 143;65.0;4;66498.0;3;3;4;10;Обычные
144;Кузнецов 144;68.0;4;51634.0;3;3;4;10;Обычные
145;Попов 145;67.0;4;60325.0;3;3;4;10;Обычные
146;Лебедев 146;71.0;4;62086.0;3;3;4;10;Обычные
147;Козлов 147;81.0;4;63208.0;3;3;4;10;Обычные
148;Новиков 148;89.0;4;61882.0;3;3;4;10;Обычные
149;Морозов 149;72.0;4;61257.0;3;3;4;10;Обычные
150;Иванов 150;65.0;4;63646.0;3;3;4;10;Обычные
51;Петров 51;-4.0;2;13380.0;5;2;2;9;Новые
54;Кузнецов 54;-5.0;2;16079.0;5;2;2;9;Новые
56;Лебедев 56;10.0;2;16224.0;5;2;2;9;Новые
57;Козлов 57;-12.0;2;16540.0;5;2;2;9;Новые
58;Новиков 58;4.0;2;19594.0;5;2;2;9;Новые
60;Иванов 60;34.0;2;25295.0;4;2;3;9;Новые
61;Петров 61;-10.0;2;18682.0;5;2;2;9;Новые
63;Смирнов 63;14.0;2;16434.0;5;2;2;9;Новые
64;Кузнецов 64;19.0;2;16773.0;5;2;2;9;Новые
65;Попов 65;6.0;2;16755.0;5;2;2;9;Новые
